"","agegrp","DS","Serogroup","Serotype","carriage","disease","n.swab","N","time.int","carr.prev","carr.prev.low","carr.prev.high","lambda","lambda.low","lambda.high","invasiveness","invasiveness.low","invasiveness.high","vaccinationera"
"91","adults","Portugal.pre.PCV","VT10","7F",3,17,1170,8284894,2,0.00256410027472119,0.00093151265242644,0.00746862139543198,17,10.67,27.22,0.000300051149930577,0,0.00130022164969917,"pre.PCV"
"92","adults","Portugal.pre.PCV","NVT","8",1,26,1170,8284894,2,0.00085472374851463,0.000206870027530422,0.0047487477961461,26,17.79,38.1,0.00110018754974545,0.000400068199907436,0.0533090876376659,"pre.PCV"
"93","adults","Portugal.pre.PCV","NVT","9A",0,1,1170,8284894,2,0,0,0.00314518418782891,1,0.24,5.57,0.000300054429796291,0,0.90786468642031,"pre.PCV"
"94","adults","Portugal.pre.PCV","NVT","9L",0,5,1170,8284894,2,0,0,0.00314518418782891,5,2.2,11.67,0.000300054429796291,0.00020003628653086,0.852854707624323,"pre.PCV"
"95","adults","Portugal.pre.PCV","NVT","9N",1,5,1170,8284894,2,0.00085472374851463,0.000206870027530422,0.0047487477961461,5,2.2,11.67,0.000300051149930577,0,0.00630107414854212,"pre.PCV"
"96","adults","Portugal.pre.PCV","VT7","9V",14,14,1170,8284894,2,0.0119658409646427,0.00718660852920021,0.0199781454127444,14,8.4,23.49,0.000100017049976859,0,0.000100017049976859,"pre.PCV"
"97","adults","Stockholm.pre.PCV","VT10","1",0,20,611,2004152,1,0,0,0.00600938573104595,20,13,30.89,0.00462083821886042,0.00392071121600278,1.20015770829857,"pre.PCV"
"98","adults","Stockholm.pre.PCV","NVT","11A",5,8,611,2004152,1,0.00818328881222079,0.00360612462982859,0.0189621811020945,8,4.12,15.76,0.000500085249884295,0,0.00250042624942148,"pre.PCV"
"99","adults","Stockholm.pre.PCV","NVT","12F",0,8,611,2004152,1,0,0,0.00600938573104595,8,4.12,15.76,0.0033005987277592,0.00180032657877774,0.858855796220249,"pre.PCV"
"100","adults","Stockholm.pre.PCV","VT7","14",17,33,611,2004152,1,0.0278232478957343,0.0175224897891082,0.0441032040479824,33,23.55,46.34,0.000500085249884295,0.000200034099953718,0.00110018754974545,"pre.PCV"
"101","adults","Stockholm.pre.PCV","NVT","15B/C",9,2,611,2004152,1,0.0147299045767235,0.00786273805860695,0.0277320943251977,2,0.62,7.22,0.000100017049976859,0,0.000300051149930577,"pre.PCV"
"102","adults","Stockholm.pre.PCV","NVT","17F",0,2,611,2004152,1,0,0,0.00600938573104595,2,0.62,7.22,0.00130023586245059,0.000400072573061721,0.830250607246336,"pre.PCV"
"103","adults","Stockholm.pre.PCV","VT7","18C",2,7,611,2004152,1,0.00327336611534573,0.00101200467130832,0.0117547795831492,7,3.45,14.42,0.000900153449791731,0.000200034099953718,0.00790134694817186,"pre.PCV"
"104","adults","Stockholm.pre.PCV","VT13","19A",3,13,611,2004152,1,0.00490994184000019,0.00178359711765793,0.0142582851935125,13,7.65,22.23,0.00110018754974545,0.000400068199907436,0.00910155154789417,"pre.PCV"
"105","adults","Stockholm.pre.PCV","VT7","19F",42,5,611,2004152,1,0.0687398483167153,0.0513117873261108,0.0916295244494957,5,2.2,11.67,0.000100017049976859,0,0.000100017049976859,"pre.PCV"
"106","adults","Stockholm.pre.PCV","NVT","2",0,1,611,2004152,1,0,0,0.00600938573104595,1,0.24,5.57,0.000300054429796291,0.00020003628653086,0.815647958329583,"pre.PCV"
"107","adults","Stockholm.pre.PCV","NVT","20",0,5,611,2004152,1,0,0,0.00600938573104595,5,2.2,11.67,0.00190034472204317,0.0010001814326543,0.860256050225965,"pre.PCV"
"108","adults","Stockholm.pre.PCV","NVT","21",1,0,611,2004152,1,0.00163670066642538,0.000396035457030817,0.00907008794664407,0,0,3.68,0.000100017049976859,0,0.00930158564784789,"pre.PCV"
"109","adults","Stockholm.pre.PCV","NVT","22F",0,4,611,2004152,1,0,0,0.00600938573104595,4,1.62,10.24,0.00130023586245059,0.000800145146123442,0.860256050225965,"pre.PCV"
"110","adults","Stockholm.pre.PCV","NVT","23A",4,2,611,2004152,1,0.00654659852107697,0.00265789900624355,0.0166494824726262,2,0.62,7.22,0.000300051149930577,0,0.00230039214946776,"pre.PCV"
"111","adults","Stockholm.pre.PCV","VT7","23F",33,14,611,2004152,1,0.0540097957095662,0.0387769731784271,0.0748942619253976,14,8.4,23.49,0.000100017049976859,0,0.000300051149930577,"pre.PCV"
"112","adults","Stockholm.pre.PCV","NVT","24F",1,3,611,2004152,1,0.00163670066642538,0.000396035457030817,0.00907008794664407,3,1.09,8.77,0.000300051149930577,0,0.0399068029407667,"pre.PCV"
"113","adults","Stockholm.pre.PCV","VT13","3",4,14,611,2004152,1,0.00654659852107697,0.00265789900624355,0.0166494824726262,14,8.4,23.49,0.000900153449791731,0.000200034099953718,0.00450076724895866,"pre.PCV"
"114","adults","Stockholm.pre.PCV","NVT","31",0,3,611,2004152,1,0,0,0.00600938573104595,3,1.09,8.77,0.00130023586245059,0.000600108859592581,0.852854707624323,"pre.PCV"
"115","adults","Stockholm.pre.PCV","NVT","33F",0,3,611,2004152,1,0,0,0.00600938573104595,3,1.09,8.77,0.00130023586245059,0.000600108859592581,0.852854707624323,"pre.PCV"
"116","adults","Stockholm.pre.PCV","NVT","35A",0,1,611,2004152,1,0,0,0.00600938573104595,1,0.24,5.57,0.000300054429796291,0.00020003628653086,0.815647958329583,"pre.PCV"
"117","adults","Stockholm.pre.PCV","NVT","35B",11,0,611,2004152,1,0.018003291588763,0.0101717292054201,0.0319322083545105,0,0,3.68,0.000100017049976859,0,0.000100017049976859,"pre.PCV"
"118","adults","Stockholm.pre.PCV","NVT","35F",5,3,611,2004152,1,0.00818328881222079,0.00360612462982859,0.0189621811020945,3,1.09,8.77,0.000300051149930577,0,0.00130022164969917,"pre.PCV"
"119","adults","Stockholm.pre.PCV","NVT","38",4,3,611,2004152,1,0.00654659852107697,0.00265789900624355,0.0166494824726262,3,1.09,8.77,0.000300051149930577,0,0.00250042624942148,"pre.PCV"
"120","adults","Stockholm.pre.PCV","VT7","4",0,33,611,2004152,1,0,0,0.00600938573104595,33,23.55,46.34,0.0175031750714503,0.0076013788881727,0.908064722706841,"pre.PCV"
"121","adults","Stockholm.pre.PCV","VT13","6A",43,3,611,2004152,1,0.0703764870237128,0.0527219619859679,0.0934711766743306,3,1.09,8.77,0.000100017049976859,0,0.000100017049976859,"pre.PCV"
"122","adults","Stockholm.pre.PCV","VT7","6B",33,15,611,2004152,1,0.0540097957095662,0.0387769731784271,0.0748942619253976,15,9.15,24.74,0.000100017049976859,0,0.000300051149930577,"pre.PCV"
"123","adults","Stockholm.pre.PCV","VT10","7F",4,23,611,2004152,1,0.00654659852107697,0.00265789900624355,0.0166494824726262,23,15.38,34.51,0.00150025574965289,0.000600102299861154,0.00550093774872725,"pre.PCV"
"124","adults","Stockholm.pre.PCV","NVT","8",0,11,611,2004152,1,0,0,0.00600938573104595,11,6.2,19.68,0.00750136074490727,0.00240043543837032,0.854254961630039,"pre.PCV"
"125","adults","Stockholm.pre.PCV","NVT","9N",2,8,611,2004152,1,0.00327336611534573,0.00101200467130832,0.0117547795831492,8,4.12,15.76,0.00110018754974545,0.000400068199907436,0.013502301746876,"pre.PCV"
"126","adults","Stockholm.pre.PCV","VT7","9V",6,19,611,2004152,1,0.00981999926940482,0.00461063221035855,0.0212161506694764,19,12.22,29.67,0.00110018754974545,0.000400068199907436,0.00450076724895866,"pre.PCV"
"127","adults","E.W.pre.PCV","NVT","10A",1,8,3752,48702414,1,0.000266502817506174,6.45387422657254e-05,0.00148367297762194,8,4.12,15.76,0.000300051149930577,0,0.0181030860458115,"pre.PCV"
"128","adults","E.W.pre.PCV","NVT","11A",25,27,3752,48702414,1,0.00666308806727195,0.00453032515885813,0.00981781251733959,27,18.61,39.28,0.000100017049976859,0,0.000100017049976859,"pre.PCV"
"129","adults","E.W.pre.PCV","VT7","14",58,334,3752,48702414,1,0.0154583846709656,0.011988380759026,0.0199329433770577,334,300.08,371.81,0.000500085249884295,0.000200034099953718,0.000500085249884295,"pre.PCV"
"130","adults","E.W.pre.PCV","NVT","15B/C",15,14,3752,48702414,1,0.00399787427658786,0.00243868305948201,0.00658360536365716,14,8.4,23.49,0.000100017049976859,0,0.000100017049976859,"pre.PCV"
