study,type,carriage_samples,surveillance_population,time_interval,carriage,disease
Portugal.pre.PCV,9V,1170,2071223,2,14,2
Portugal.pre.PCV,19C,1170,2071223,2,0,1
E.W.pre.PCV,10A,3752,3091000,1,1,0
E.W.pre.PCV,11A,3752,3091000,1,25,2
E.W.pre.PCV,14,3752,3091000,1,58,125
E.W.pre.PCV,15B/C,3752,3091000,1,15,8
E.W.pre.PCV,16F,3752,3091000,1,2,2
E.W.pre.PCV,17F,3752,3091000,1,0,1
E.W.pre.PCV,18B,3752,3091000,1,2,1
E.W.pre.PCV,18C,3752,3091000,1,12,41
E.W.pre.PCV,19A,3752,3091000,1,18,20
E.W.pre.PCV,19F,3752,3091000,1,92,52
E.W.pre.PCV,20,3752,3091000,1,0,1
E.W.pre.PCV,21,3752,3091000,1,4,0
E.W.pre.PCV,22F,3752,3091000,1,11,9
E.W.pre.PCV,23A,3752,3091000,1,9,2
E.W.pre.PCV,23F,3752,3091000,1,88,43
E.W.pre.PCV,27,3752,3091000,1,1,1
E.W.pre.PCV,3,3752,3091000,1,4,6
E.W.pre.PCV,31,3752,3091000,1,1,0
E.W.pre.PCV,35B,3752,3091000,1,4,1
E.W.pre.PCV,35F,3752,3091000,1,15,1
E.W.pre.PCV,38,3752,3091000,1,1,3
E.W.pre.PCV,4,3752,3091000,1,0,10
E.W.pre.PCV,6A,3752,3091000,1,82,16
E.W.pre.PCV,6B,3752,3091000,1,186,64
E.W.pre.PCV,7F,3752,3091000,1,2,10
E.W.pre.PCV,8,3752,3091000,1,0,8
E.W.pre.PCV,9N,3752,3091000,1,4,6
E.W.pre.PCV,9V,3752,3091000,1,11,28
France.post.PCV13,10A,1212,842076,2,11,14
France.post.PCV13,10B,1212,842076,2,1,0
France.post.PCV13,11A,1212,842076,2,13,2
France.post.PCV13,11B,1212,842076,2,0,1
France.post.PCV13,11F,1212,842076,2,1,0
France.post.PCV13,12F,1212,842076,2,0,16
France.post.PCV13,14,1212,842076,2,2,2
France.post.PCV13,15A,1212,842076,2,14,13
France.post.PCV13,15B/C,1212,842076,2,22,15
France.post.PCV13,15F,1212,842076,2,0,2
